category	id	progress	weight	title	acceptance	dependencies
Verification, sandbox baseline and delivery	QA-09	0	2	Validate clean-machine installation and recovery	A packaged game runs without the workspace, reports failures and handles missing/corrupt saves or assets safely.	QA-07,SIM-07
Verification, sandbox baseline and delivery	QA-10	0	2	Close the final baseline parity audit	Every reference entry passes its owning task's acceptance or has an explicit user-approved exception; no missing family is hidden by averages.	REF-06,QA-02,QA-03,QA-04,QA-05,QA-09
Deferred enrichment and explicit exclusions	DEF-01	0	0	Expand flora/fauna and synergy corpus	After baseline, author a broad distinct ecology corpus with rare traits and meaningful interactions; not counted as baseline completion.	QA-10
Deferred enrichment and explicit exclusions	DEF-02	0	0	Expand commodities, material culture and supply chains	Additional resources, manufactured goods, cultural goods and cross-world production chains enrich the established economy.	QA-10
Deferred enrichment and explicit exclusions	DEF-03	0	0	Add visible resource investments and harvesting infrastructure	Mines, farms, extraction and shipping visuals support expensive worthwhile investments beyond the baseline set.	QA-10
Deferred enrichment and explicit exclusions	DEF-04	0	0	Build the Vanguard and ancestor story campaign	Living choices, fallible ancestors, varied invaders and meaningful consequences implement the authored campaign beyond baseline parity.	QA-10
Deferred enrichment and explicit exclusions	DEF-05	0	0	Add human Sol and variable story scenarios	Separate human and alien starts plus replay variation use shared systems without contradicting fixed scenario history.	QA-10
Deferred enrichment and explicit exclusions	DEF-06	0	0	Deepen nations, governments and appointed administrators	Political choices, mayors and governmental institutions extend baseline empire diplomacy and aggregate colonies.	QA-10
Deferred enrichment and explicit exclusions	DEF-07	0	0	Deepen SimCity-style services and development	Wealth tiers, education, healthcare, service networks and regional specialization support space play without per-person simulation.	QA-10
Deferred enrichment and explicit exclusions	DEF-08	0	0	Add megafauna transport and unusual infrastructure	Creature transit and original alien urban systems extend the accepted environment and aggregate network model.	QA-10
Deferred enrichment and explicit exclusions	DEF-09	0	0	Build first-person fleet combat and advanced orders	Cockpit flight and richer fleet command are desired additions, not base Spore Space Stage parity.	QA-10
Deferred enrichment and explicit exclusions	DEF-10	0	0	Consider full creature creation and procedural animation	Explicitly deferred; scope and separate estimate required before implementation or claiming creation parity.	REF-05
Deferred enrichment and explicit exclusions	DEF-11	0	0	Consider online creation sharing and moderation	Not assumed in the single-player baseline; needs a separate product/security/moderation scope.	REF-05
Deferred enrichment and explicit exclusions	DEF-12	0	0	Account for Galactic Adventures and multiplayer exclusions	Expansion adventure editors/missions and multiplayer are not current baseline commitments; record exclusion rather than claiming them complete.	REF-05
